Time (s),Temperature (K)
0.006583333,521.8384306
0.006611111,521.5892609
0.006638889,521.3469511
0.006666667,521.1114079
0.006694444,520.8825161
0.006722222,520.6601419
0.00675,520.4441354
0.006777778,520.2343341
0.006805556,520.0305647
0.006833333,519.8326462
0.006861111,519.6403912
0.006888889,519.4536085
0.006916667,519.2721046
0.006944444,519.0956851
0.006972222,518.9241561
0.007,518.7573255
0.007027778,518.595004
0.007055556,518.4370057
0.007083333,518.2831492
0.007111111,518.1332579
0.007138889,517.9871603
0.007166667,517.8446911
0.007194444,517.7056904
0.007222222,517.5700047
0.00725,517.4374869
0.007277778,517.3079959
0.007305556,517.1813968
0.007333333,517.0575612
0.007361111,516.9363664
0.007388889,516.817696
0.007416667,516.7014391
0.007444444,516.5874904
0.007472222,516.4757502
0.0075,516.3661237
0.007527778,516.2585213
0.007555556,516.1528578
0.007583333,516.0490529
0.007611111,515.9470302
0.007638889,515.8467175
0.007666667,515.7480466
0.007694444,515.6509526
0.007722222,515.5553744
0.00775,515.4612537
0.007777778,515.3685357
0.007805556,515.277168
0.007833333,515.1871013
0.007861111,515.0982885
0.007888889,515.0106853
0.007916667,514.9242491
0.007944444,514.8389399
0.007972222,514.7547195
0.008,514.6715514
0.008027778,514.589401
0.008055556,514.5082356
0.008083333,514.4280236
0.008111111,514.3487351
0.008138889,514.2703417
0.008166667,514.1928161
0.008194444,514.1161323
0.008222222,514.0402654
0.00825,513.9651918
0.008277778,513.8908888
0.008305556,513.8173347
0.008333333,513.7445086
0.008361111,513.6723908
0.008388889,513.6009622
0.008416667,513.5302045
0.008444444,513.4601003
0.008472222,513.3906328
0.0085,513.321786
0.008527778,513.2535443
0.008555556,513.1858931
0.008583333,513.118818
0.008611111,513.0523054
0.008638889,512.9863423
0.008666667,512.920916
0.008694444,512.8560143
0.008722222,512.7916258
0.00875,512.7277391
0.008777778,512.6643434
0.008805556,512.6014285
0.008833333,512.5389844
0.008861111,512.4770014
0.008888889,512.4154702
0.008916667,512.3543821
0.008944444,512.2937284
0.008972222,512.2335008
0.009,512.1736913
0.009027778,512.1142924
0.009055556,512.0552966
0.009083333,511.9966967
0.009111111,511.9384858
0.009138889,511.8806574
0.009166667,511.8232049
0.009194444,511.7661222
0.009222222,511.7094033
0.00925,511.6530424
0.009277778,511.597034
0.009305556,511.5413726
0.009333333,511.486053
0.009361111,511.4310702
0.009388889,511.3764193
0.009416667,511.3220956
0.009444444,511.2680945
0.009472222,511.2144116
0.0095,511.1610426
0.009527778,511.1079834
0.009555556,511.0552299
0.009583333,511.0027783
0.009611111,510.9506249
0.009638889,510.8987658
0.009666667,510.8471977
0.009694444,510.795917
0.009722222,510.7449205
0.00975,510.6942048
0.009777778,510.6437669
0.009805556,510.5936036
0.009833333,510.5437121
0.009861111,510.4940894
0.009888889,510.4447327
0.009916667,510.3956393
0.009944444,510.3468065
0.009972222,510.2982318
0.01,510.2499126
0.010027778,510.2018466
0.010055556,510.1540312
0.010083333,510.1064642
0.010111111,510.0591433
0.010138889,510.0120662
0.010166667,509.965231
0.010194444,509.9186353
0.010222222,509.8722773
0.01025,509.8261548
0.010277778,509.7802659
0.010305556,509.7346087
0.010333333,509.6891814
0.010361111,509.643982
0.010388889,509.5990088
0.010416667,509.5542601
0.010444444,509.5097341
0.010472222,509.4654292
0.0105,509.4213437
0.010527778,509.3774759
0.010555556,509.3338244
0.010583333,509.2903875
0.010611111,509.2471638
0.010638889,509.2041518
0.010666667,509.1613499
0.010694444,509.1187567
0.010722222,509.0763709
0.01075,509.0341911
0.010777778,508.9922158
0.010805556,508.9504438
0.010833333,508.9088737
0.010861111,508.8675042
0.010888889,508.8263341
0.010916667,508.7853621
0.010944444,508.7445869
0.010972222,508.7040074
0.011,508.6636224
0.011027778,508.6234306
0.011055556,508.5834309
0.011083333,508.5436222
0.011111111,508.5040033
0.011138889,508.4645731
0.011166667,508.4253305
0.011194444,508.3862744
0.011222222,508.3474038
0.01125,508.3087175
0.011277778,508.2702146
0.011305556,508.231894
0.011333333,508.1937547
0.011361111,508.1557957
0.011388889,508.1180159
0.011416667,508.0804144
0.011444444,508.0429903
0.011472222,508.0057424
0.0115,507.96867
0.011527778,507.9317721
0.011555556,507.8950476
0.011583333,507.8584958
0.011611111,507.8221156
0.011638889,507.7859062
0.011666667,507.7498667
0.011694444,507.7139962
0.011722222,507.6782937
0.01175,507.6427585
0.011777778,507.6073897
0.011805556,507.5721864
0.011833333,507.5371477
0.011861111,507.5022729
0.011888889,507.4675611
0.011916667,507.4330114
0.011944444,507.398623
0.011972222,507.3643952
0.012,507.3303271
0.012027778,507.2964179
0.012055556,507.2626668
0.012083333,507.229073
0.012111111,507.1956358
0.012138889,507.1623544
0.012166667,507.129228
0.012194444,507.0962558
0.012222222,507.063437
0.01225,507.030771
0.012277778,506.998257
0.012305556,506.9658942
0.012333333,506.9336819
0.012361111,506.9016193
0.012388889,506.8697058
0.012416667,506.8379406
0.012444444,506.8063229
0.012472222,506.7748521
0.0125,506.7435275
0.012527778,506.7123484
0.012555556,506.681314
0.012583333,506.6504236
0.012611111,506.6196766
0.012638889,506.5890723
0.012666667,506.55861
0.012694444,506.528289
0.012722222,506.4981087
0.01275,506.4680683
0.012777778,506.4381672
0.012805556,506.4084047
0.012833333,506.3787803
0.012861111,506.3492931
0.012888889,506.3199426
0.012916667,506.2907282
0.012944444,506.2616491
0.012972222,506.2327048
0.013,506.2038945
0.013027778,506.1752177
0.013055556,506.1466738
0.013083333,506.1182621
0.013111111,506.0899819
0.013138889,506.0618328
0.013166667,506.0338139
0.013194444,506.0059248
0.013222222,505.9781649
0.01325,505.9505334
0.013277778,505.9230299
0.013305556,505.8956537
0.013333333,505.8684042
0.013361111,505.8412808
0.013388889,505.8142829
0.013416667,505.7874101
0.013444444,505.7606615
0.013472222,505.7340368
0.0135,505.7075352
0.013527778,505.6811563
0.013555556,505.6548994
0.013583333,505.628764
0.013611111,505.6027495
0.013638889,505.5768553
0.013666667,505.551081
0.013694444,505.5254258
0.013722222,505.4998894
0.01375,505.474471
0.013777778,505.4491703
0.013805556,505.4239865
0.013833333,505.3989192
0.013861111,505.3739679
0.013888889,505.3491319
0.013916667,505.3244109
0.013944444,505.2998041
0.013972222,505.2753111
0.014,505.2509314
0.014027778,505.2266644
0.014055556,505.2025097
0.014083333,505.1784666
0.014111111,505.1545347
0.014138889,505.1307134
0.014166667,505.1070023
0.014194444,505.0834008
0.014222222,505.0599085
0.01425,505.0365247
0.014277778,505.0132491
0.014305556,504.9900811
0.014333333,504.9670202
0.014361111,504.9440658
0.014388889,504.9212177
0.014416667,504.8984751
0.014444444,504.8758377
0.014472222,504.8533049
0.0145,504.8308763
0.014527778,504.8085513
0.014555556,504.7863296
0.014583333,504.7642106
0.014611111,504.7421938
0.014638889,504.7202788
0.014666667,504.6984651
0.014694444,504.6767523
0.014722222,504.6551398
0.01475,504.6336272
0.014777778,504.612214
0.014805556,504.5908998
0.014833333,504.5696841
0.014861111,504.5485665
0.014888889,504.5275465
0.014916667,504.5066237
0.014944444,504.4857975
0.014972222,504.4650677
0.015,504.4444336
0.015027778,504.4238949
0.015055556,504.4034511
0.015083333,504.3831018
0.015111111,504.3628466
0.015138889,504.342685
0.015166667,504.3226165
0.015194444,504.3026409
0.015222222,504.2827575
0.01525,504.262966
0.015277778,504.243266
0.015305556,504.2236571
0.015333333,504.2041388
0.015361111,504.1847107
0.015388889,504.1653723
0.015416667,504.1461234
0.015444444,504.1269634
0.015472222,504.1078919
0.0155,504.0889086
0.015527778,504.0700131
0.015555556,504.0512048
0.015583333,504.0324835
0.015611111,504.0138487
0.015638889,503.9953
0.015666667,503.9768371
0.015694444,503.9584594
0.015722222,503.9401667
0.01575,503.9219586
0.015777778,503.9038346
0.015805556,503.8857943
0.015833333,503.8678374
0.015861111,503.8499635
0.015888889,503.8321722
0.015916667,503.8144632
0.015944444,503.7968359
0.015972222,503.7792901
0.016,503.7618255
0.016027778,503.7444415
0.016055556,503.7271378
0.016083333,503.7099142
