Time (s),Heat Flux (W/m^2)
0.006416667,1225930.115
0.006444444,1107351.843
0.006472222,998269.2341
0.0065,898156.2053
0.006527778,806488.5338
0.006555556,722747.593
0.006583333,646423.662
0.006611111,577018.8099
0.006638889,514049.3692
0.006666667,457048.0126
0.006694444,405565.4527
0.006722222,359171.7877
0.00675,317457.5159
0.006777778,280034.2459
0.006805556,246535.1291
0.006833333,216615.0422
0.006861111,189950.546
0.006888889,166239.6498
0.006916667,145201.4051
0.006944444,126575.3557
0.006972222,110120.8687
0.007,95616.36632
0.007027778,82858.48268
0.007055556,71661.16288
0.007083333,61854.72223
0.007111111,53284.88158
0.007138889,45811.79231
0.007166667,39309.06337
0.007194444,33662.80047
0.007222222,28770.66659
0.00725,24540.97087
0.007277778,20891.79184
0.007305556,17750.13966
0.007333333,15051.16072
0.007361111,12737.38706
0.007388889,10758.03205
0.007416667,9068.33292
0.007444444,7628.940222
0.007472222,6405.353497
0.0075,5367.402046
0.007527778,4488.769313
0.007555556,3746.559036
0.007583333,3120.901115
0.007611111,2594.594963
0.007638889,2152.788017
0.007666667,1782.687004
0.007694444,1473.299576
0.007722222,1215.203925
0.00775,1000.34406
0.007777778,821.848499
0.007805556,673.8702277
0.007833333,551.4458928
0.007861111,450.3723067
0.007888889,367.098478
0.007916667,298.6315058
0.007944444,242.4548069
0.007972222,196.4572714
0.008,158.8720689
0.008027778,128.2239433
0.008055556,103.2839505
0.008083333,83.03069771
0.008111111,66.61724498
0.008138889,53.34291974
0.008166667,42.62938161
0.008194444,34.00035226
0.008222222,27.06449543
0.00825,21.50099644
0.008277778,17.04744799
0.008305556,13.48970013
0.008333333,10.65337835
0.008361111,8.396814155
0.008388889,6.605167958
0.008416667,5.185555946
0.008444444,4.063019599
0.008472222,3.177200664
0.0085,2.479605017
0.008527778,1.931356753
0.008555556,1.501359281
0.008583333,1.164793391
0.008611111,0.901893583
0.008638889,0.696953544
0.008666667,0.53751984
0.008694444,0.413739801
0.008722222,0.317835379
0.00875,0.243679676
0.008777778,0.186456923
0.008805556,0.142390119
0.008833333,0.108523384
0.008861111,0.082548452
0.008888889,0.062666679
0.008916667,0.047479546
0.008944444,0.035901994
0.008972222,0.027093974
0.009,0.020406522
0.009027778,0.015339366
0.009055556,0.011507685
0.009083333,0.008616098
0.009111111,0.006438363
0.009138889,0.004801561
0.009166667,0.00357381
0.009194444,0.002654744
0.009222222,0.00196814
0.00925,0.001456235
0.009277778,0.001075348
0.009305556,0.000792518
0.009333333,0.000582923
0.009361111,0.000427912
0.009388889,0.000313503
0.009416667,0.000229229
0.009444444,0.000167278
0.009472222,0.000121829
0.0095,8.85538E-05
0.009527778,6.42398E-05
0.009555556,4.65096E-05
0.009583333,3.36065E-05
0.009611111,2.42352E-05
0.009638889,1.74427E-05
0.009666667,1.25291E-05
0.009694444,8.98193E-06
0.009722222,6.42631E-06
0.00975,4.58876E-06
0.009777778,3.27018E-06
0.009805556,2.32589E-06
0.009833333,1.65101E-06
0.009861111,1.16964E-06
0.009888889,8.26984E-07
0.009916667,5.83557E-07
0.009944444,4.10972E-07
0.009972222,2.88857E-07
0.01,2.02627E-07
0.010027778,1.41857E-07
0.010055556,9.91172E-08
0.010083333,6.91176E-08
0.010111111,4.81028E-08
0.010138889,3.34114E-08
0.010166667,2.31611E-08
0.010194444,1.60239E-08
0.010222222,1.10642E-08
0.01025,7.62449E-09
0.010277778,5.24379E-09
0.010305556,3.59933E-09
0.010333333,2.4657E-09
0.010361111,1.68578E-09
0.010388889,1.15028E-09
0.010416667,7.83338E-10
0.010444444,5.32398E-10
0.010472222,3.61132E-10
0.0105,2.44477E-10
0.010527778,1.65178E-10
0.010555556,1.1138E-10
0.010583333,7.49558E-11
0.010611111,5.03437E-11
0.010638889,3.37464E-11
0.010666667,2.25762E-11
0.010694444,1.50736E-11
0.010722222,1.00445E-11
0.01075,6.68002E-12
0.010777778,4.43374E-12
0.010805556,2.93701E-12
0.010833333,1.9417E-12
0.010861111,1.28116E-12
0.010888889,8.43652E-13
0.010916667,5.54456E-13
0.010944444,3.63674E-13
0.010972222,2.38068E-13
0.011,1.55536E-13
0.011027778,1.01415E-13
0.011055556,6.59958E-14
0.011083333,4.2862E-14
0.011111111,2.77825E-14
0.011138889,1.79726E-14
0.011166667,1.16037E-14
0.011194444,7.47687E-15
0.011222222,4.80825E-15
0.01125,3.086E-15
0.011277778,1.97673E-15
0.011305556,1.26369E-15
0.011333333,8.06262E-16
0.011361111,5.13398E-16
0.011388889,3.26267E-16
0.011416667,2.06936E-16
0.011444444,1.3099E-16
0.011472222,8.27534E-17
0.0115,5.21764E-17
0.011527778,3.28326E-17
0.011555556,2.06195E-17
0.011583333,1.29239E-17
0.011611111,8.08443E-18
0.011638889,5.04717E-18
0.011666667,3.14477E-18
0.011694444,1.95557E-18
0.011722222,1.21366E-18
0.01175,7.51737E-19
0.011777778,4.64703E-19
0.011805556,2.867E-19
0.011833333,1.76531E-19
0.011861111,1.08482E-19
0.011888889,6.65328E-20
0.011916667,4.07245E-20
0.011944444,2.48782E-20
0.011972222,1.51678E-20
0.012,9.22933E-21
0.012027778,5.60479E-21
0.012055556,3.39696E-21
0.012083333,2.05477E-21
0.012111111,1.24045E-21
0.012138889,7.47371E-22
0.012166667,4.49403E-22
0.012194444,2.69698E-22
0.012222222,1.61533E-22
0.01225,9.65578E-23
0.012277778,5.76044E-23
0.012305556,3.42978E-23
0.012333333,2.03807E-23
0.012361111,1.20868E-23
0.012388889,7.15401E-24
0.012416667,4.22599E-24
0.012444444,2.49143E-24
0.012472222,1.46593E-24
0.0125,8.6083E-25
0.012527778,5.04504E-25
0.012555556,2.9509E-25
0.012583333,1.72261E-25
0.012611111,1.0036E-25
0.012638889,5.83546E-26
0.012666667,3.38636E-26
0.012694444,1.96125E-26
0.012722222,1.13364E-26
0.01275,6.53974E-27
0.012777778,3.76519E-27
0.012805556,2.16349E-27
0.012833333,1.2407E-27
0.012861111,7.101E-28
0.012888889,4.05615E-28
0.012916667,2.31234E-28
0.012944444,1.31562E-28
0.012972222,7.47055E-29
0.013,4.23366E-29
0.013027778,2.39454E-29
0.013055556,1.35167E-29
0.013083333,7.61482E-30
0.013111111,4.28146E-30
0.013138889,2.40252E-30
0.013166667,1.3455E-30
0.013194444,7.5204E-31
0.013222222,4.1951E-31
0.01325,2.33553E-31
0.013277778,1.29769E-31
0.013305556,7.19609E-32
0.013333333,3.98259E-32
0.013361111,2.19977E-32
0.013388889,1.21264E-32
0.013416667,6.67155E-33
0.013444444,3.66323E-33
0.013472222,2.00745E-33
0.0135,1.09791E-33
0.013527778,5.99281E-34
0.013555556,3.26465E-34
0.013583333,1.77495E-34
0.013611111,9.6311E-35
0.013638889,5.21565E-35
0.013666667,2.81892E-35
0.013694444,1.52055E-35
0.013722222,8.18577E-36
0.01375,4.39806E-36
0.013777778,2.35833E-36
0.013805556,1.26209E-36
0.013833333,6.74089E-37
0.013861111,3.59325E-37
0.013888889,1.91161E-37
0.013916667,1.01497E-37
0.013944444,5.37835E-38
0.013972222,2.84438E-38
0.014,1.5013E-38
0.014027778,7.90844E-39
0.014055556,4.15772E-39
0.014083333,2.18154E-39
0.014111111,1.14238E-39
0.014138889,5.97039E-40
0.014166667,3.11412E-40
0.014194444,1.6211E-40
0.014222222,8.42226E-41
0.01425,4.36705E-41
0.014277778,2.2599E-41
0.014305556,1.16717E-41
0.014333333,6.01617E-42
0.014361111,3.09491E-42
0.014388889,1.58898E-42
0.014416667,8.142E-43
0.014444444,4.16376E-43
0.014472222,2.12512E-43
0.0145,1.08248E-43
0.014527778,5.50304E-44
0.014555556,2.79207E-44
0.014583333,1.41381E-44
0.014611111,7.14494E-45
0.014638889,3.60369E-45
0.014666667,1.81401E-45
0.014694444,9.11325E-46
0.014722222,4.5693E-46
0.01475,2.28648E-46
0.014777778,1.1419E-46
0.014805556,5.69154E-47
0.014833333,2.83123E-47
0.014861111,1.4056E-47
0.014888889,6.9645E-48
0.014916667,3.44398E-48
0.014944444,1.69971E-48
0.014972222,8.372E-49
0.015,4.11553E-49
0.015027778,2.01914E-49
0.015055556,9.88661E-50
0.015083333,4.83138E-50
0.015111111,2.35633E-50
0.015138889,1.14695E-50
0.015166667,5.57179E-51
0.015194444,2.70139E-51
0.015222222,1.30714E-51
0.01525,6.31245E-52
0.015277778,3.0424E-52
0.015305556,1.46345E-52
0.015333333,7.02555E-53
0.015361111,3.36609E-53
0.015388889,1.60958E-53
0.015416667,7.68143E-54
0.015444444,3.65859E-54
0.015472222,1.73911E-54
0.0155,8.25055E-55
0.015527778,3.90643E-55
0.015555556,1.84595E-55
0.015583333,8.70568E-56
0.015611111,4.09758E-56
0.015638889,1.92483E-56
0.015666667,9.02406E-57
0.015694444,4.22233E-57
0.015722222,1.97172E-57
0.01575,9.18925E-58
0.015777778,4.27422E-58
0.015805556,1.98416E-58
0.015833333,9.19259E-59
0.015861111,4.25051E-59
0.015888889,1.96149E-59
0.015916667,9.03389E-60
0.015944444,4.15245E-60
0.015972222,1.90492E-60
0.016,8.72149E-61
0.016027778,3.98517E-61
0.016055556,1.81738E-61
0.016083333,8.27153E-62
0.016111111,3.75724E-62
0.016138889,1.70331E-62
0.016166667,7.70655E-63
0.016194444,3.47992E-63
0.016222222,1.56827E-63
0.01625,7.05365E-64
0.016277778,3.16628E-64
0.016305556,1.41849E-64
0.016333333,6.3423E-65
0.016361111,2.83014E-65
0.016388889,1.26041E-65
0.016416667,5.6022E-66
0.016444444,2.48512E-66
0.016472222,1.10021E-66
0.0165,4.86127E-67
0.016527778,2.1437E-67
0.016555556,9.43456E-68
0.016583333,4.14401E-68
0.016611111,1.81661E-68
0.016638889,7.94776E-69
0.016666667,3.47033E-69
0.016694444,1.5123E-69
0.016722222,6.5773E-70
0.01675,2.85495E-70
0.016777778,1.23678E-70
0.016805556,5.34723E-71
0.016833333,2.30732E-71
0.016861111,9.93637E-72
0.016888889,4.27061E-72
0.016916667,1.83187E-72
0.016944444,7.84226E-73
0.016972222,3.35066E-73
0.017,1.42877E-73
0.017027778,6.08043E-74
0.017055556,2.58255E-74
0.017083333,1.09473E-74
0.017111111,4.63134E-75
0.017138889,1.95546E-75
0.017166667,8.24009E-76
0.017194444,3.46543E-76
0.017222222,1.45454E-76
0.01725,6.09307E-77
0.017277778,2.54735E-77
0.017305556,1.06288E-77
0.017333333,4.42608E-78
0.017361111,1.83949E-78
0.017388889,7.6299E-79
0.017416667,3.15851E-79
0.017444444,1.30493E-79
0.017472222,5.38064E-80
0.0175,2.21423E-80
0.017527778,9.094E-81
0.017555556,3.7276E-81
0.017583333,1.52491E-81
0.017611111,6.22591E-82
0.017638889,2.5369E-82
0.017666667,1.03168E-82
0.017694444,4.18725E-83
0.017722222,1.69612E-83
0.01775,6.85684E-84
0.017777778,2.76653E-84
0.017805556,1.11401E-84
0.017833333,4.47696E-85
0.017861111,1.79564E-85
0.017888889,7.18785E-86
0.017916667,2.87158E-86
0.017944444,1.14494E-86
0.017972222,4.55606E-87
0.018,1.80941E-87
0.018027778,7.17179E-88
0.018055556,2.837E-88
0.018083333,1.12004E-88
0.018111111,4.41317E-89
0.018138889,1.73544E-89
0.018166667,6.81098E-90
0.018194444,2.66779E-90
0.018222222,1.04289E-90
0.01825,4.06878E-91
0.018277778,1.58428E-91
0.018305556,6.15665E-92
0.018333333,2.3878E-92
0.018361111,9.24258E-93
0.018388889,3.57052E-93
0.018416667,1.37661E-93
0.018444444,5.29704E-94
0.018472222,2.03422E-94
0.0185,7.79656E-95
0.018527778,2.9823E-95
0.018555556,1.13852E-95
0.018583333,4.33785E-96
0.018611111,1.64949E-96
0.018638889,6.25989E-97
0.018666667,2.37097E-97
0.018694444,8.96245E-98
0.018722222,3.38119E-98
0.01875,1.27308E-98
0.018777778,4.7839E-99
0.018805556,1.7941E-99
0.018833333,6.7153E-100
0.018861111,2.5085E-100
0.018888889,9.3522E-101
0.018916667,3.4798E-101
0.018944444,1.2922E-101
0.018972222,4.7891E-102
0.019,1.7714E-102
0.019027778,6.5392E-103
0.019055556,2.4092E-103
0.019083333,8.8586E-104
0.019111111,3.2509E-104
0.019138889,1.1906E-104
0.019166667,4.352E-105
0.019194444,1.5876E-105
0.019222222,5.7804E-106
0.01925,2.1004E-106
0.019277778,7.617E-107
0.019305556,2.7568E-107
0.019333333,9.9582E-108
0.019361111,3.59E-108
0.019388889,1.2917E-108
0.019416667,4.6382E-109
0.019444444,1.6622E-109
0.019472222,5.9452E-110
0.0195,2.1222E-110
0.019527778,7.5606E-111
0.019555556,2.6882E-111
0.019583333,9.5392E-112
0.019611111,3.3783E-112
0.019638889,1.1941E-112
0.019666667,4.2122E-113
0.019694444,1.483E-113
0.019722222,5.2106E-114
0.01975,1.8272E-114
0.019777778,6.3949E-115
0.019805556,2.2337E-115
0.019833333,7.7867E-116
0.019861111,2.7091E-116
0.019888889,9.4067E-117
0.019916667,3.2598E-117
0.019944444,1.1274E-117
0.019972222,3.8916E-118
